Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,49,29.2,4.28,162,6157,5460,693,1283,259,50,176,658,79,25,560,1460,0.235,0.31,0.397,0.707,84,2170,110,52,38,45,36,1086,30,29.6,3.98,82,80,0.506,3.72,162,162,160,2,9,1,39,1463,1313,644,605,174,522,43,1448,57,5,69,6139,117,3.91,1.254,8.1,1.1,3.2,8.9,2.77,1106
ATL,58,27.3,4.69,162,6266,5582,759,1433,314,29,175,717,90,36,511,1290,0.257,0.324,0.417,0.742,99,2330,99,66,49,43,53,1143,35,27.7,4.06,90,72,0.556,3.75,162,162,160,2,11,1,40,1456.2,1236,657,607,153,635,43,1423,52,8,61,6155,108,3.98,1.284,7.6,0.9,3.9,8.8,2.24,1128
BAL,56,28.4,3.84,162,6034,5507,622,1317,242,15,188,593,81,22,422,1412,0.239,0.298,0.391,0.689,91,2153,132,57,13,35,19,1027,30,27.1,5.51,47,115,0.29,5.18,162,162,160,2,7,0,28,1431,1552,892,824,234,589,29,1203,67,8,81,6340,80,4.98,1.496,9.8,1.5,3.7,7.6,2.04,1155
BOS,44,27.7,5.41,162,6302,5623,876,1509,355,31,208,829,125,31,569,1253,0.268,0.339,0.453,0.792,112,2550,130,55,7,48,38,1124,23,28.9,3.99,108,54,0.667,3.75,162,162,160,2,14,0,46,1458.2,1305,647,608,176,512,8,1558,84,3,51,6166,117,3.82,1.246,8.1,1.1,3.2,9.6,3.04,1143
CHC,50,27.2,4.67,163,6369,5624,761,1453,286,34,167,722,66,38,576,1388,0.258,0.333,0.41,0.744,95,2308,107,78,40,46,67,1224,35,30.2,3.96,95,68,0.583,3.65,163,163,162,1,18,0,46,1476.1,1319,645,598,157,622,33,1333,66,3,46,6264,118,4.14,1.315,8,1,3.8,8.1,2.14,1190
CHW,51,26.5,4.05,162,6071,5523,656,1332,259,40,182,639,98,41,425,1594,0.241,0.302,0.401,0.703,93,2217,99,66,24,32,18,1050,31,27.6,5.23,62,100,0.383,4.84,162,162,162,0,8,0,34,1437,1405,848,772,196,653,25,1259,89,9,94,6339,87,4.73,1.432,8.8,1.2,4.1,7.9,1.93,1180
CIN,53,27.2,4.3,162,6240,5532,696,1404,251,25,172,665,77,33,559,1376,0.254,0.328,0.401,0.729,94,2221,128,65,49,35,35,1179,32,27.1,5.06,67,95,0.414,4.63,162,162,161,1,6,0,38,1441,1491,819,741,228,532,60,1258,50,8,48,6279,91,4.66,1.404,9.3,1.4,3.3,7.9,2.36,1137
CLE,49,29.4,5.05,162,6300,5595,818,1447,297,19,216,786,135,36,554,1189,0.259,0.332,0.434,0.766,105,2430,98,80,25,44,32,1147,27,29.4,4,91,71,0.562,3.77,162,162,157,5,17,2,41,1457.1,1349,648,611,200,407,29,1544,59,2,54,6071,116,3.79,1.205,8.3,1.2,2.5,9.5,3.79,1051
COL,41,28.7,4.79,163,6178,5541,780,1418,280,42,210,748,95,33,507,1397,0.256,0.322,0.435,0.757,90,2412,114,51,42,37,38,1067,21,27.9,4.57,91,72,0.558,4.33,163,163,163,0,10,0,51,1452.1,1378,745,699,184,525,24,1409,52,8,70,6154,108,4.06,1.31,8.5,1.1,3.3,8.7,2.68,1052
DET,49,27.9,3.89,162,6029,5494,630,1326,284,35,135,597,70,30,428,1341,0.241,0.3,0.38,0.68,85,2085,110,52,15,40,18,1071,27,28.6,4.91,64,98,0.395,4.58,162,162,162,0,2,0,37,1425.1,1423,796,726,216,491,20,1215,60,4,54,6130,95,4.59,1.343,9,1.4,3.1,7.7,2.47,1058
HOU,41,28.2,4.92,162,6146,5453,797,1390,278,18,205,763,71,26,565,1197,0.255,0.329,0.425,0.754,109,2319,156,61,14,45,19,1052,22,30,3.3,103,59,0.636,3.11,162,162,159,3,12,2,46,1455,1164,534,503,152,435,4,1687,66,4,67,5913,130,3.23,1.099,7.2,0.9,2.7,10.4,3.88,1014
